user_email,job_title,department,hire_date,salary_base,status
user1001@company.com,Designer,Design,2024-01-02,51500.00,resigned
user1002@company.com,Accountant,Finance,2024-01-03,53000.00,active
user1003@company.com,Manager,Management,2024-01-04,54500.00,active
user1004@company.com,HR Specialist,HR,2024-01-05,56000.00,active
user1005@company.com,IT Specialist,IT,2024-01-06,57500.00,active
user1006@company.com,QA Analyst,Testing,2024-01-07,59000.00,active
user1007@company.com,Accountant,Finance,2024-01-08,60500.00,active
user1008@company.com,QA Analyst,Testing,2024-01-09,62000.00,active
user1009@company.com,QA Analyst,Testing,2024-01-10,63500.00,active
user1010@company.com,Manager,Management,2024-01-11,50000.00,resigned
user1011@company.com,Manager,Management,2024-01-12,51500.00,active
user1012@company.com,Support Specialist,Support,2024-01-13,53000.00,resigned
user1013@company.com,Support Specialist,Support,2024-01-14,54500.00,active
user1014@company.com,Accountant,Finance,2024-01-15,56000.00,resigned
user1015@company.com,QA Analyst,Testing,2024-01-16,57500.00,resigned
user1016@company.com,IT Specialist,IT,2024-01-17,59000.00,resigned
user1017@company.com,Designer,Design,2024-01-18,60500.00,resigned
user1018@company.com,Designer,Design,2024-01-19,62000.00,resigned
user1019@company.com,Designer,Design,2024-01-20,63500.00,resigned
user1020@company.com,HR Specialist,HR,2024-01-21,50000.00,resigned
user1021@company.com,Designer,Design,2024-01-22,51500.00,active
user1022@company.com,Support Specialist,Support,2024-01-23,53000.00,active
user1023@company.com,Manager,Management,2024-01-24,54500.00,resigned
user1024@company.com,Designer,Design,2024-01-25,56000.00,resigned
user1025@company.com,Support Specialist,Support,2024-01-26,57500.00,active
user1026@company.com,Designer,Design,2024-01-27,59000.00,active
user1027@company.com,Accountant,Finance,2024-01-28,60500.00,active
user1028@company.com,Designer,Design,2024-01-29,62000.00,resigned
user1029@company.com,IT Specialist,IT,2024-01-30,63500.00,active
user1030@company.com,Accountant,Finance,2024-01-31,50000.00,active
user1031@company.com,Accountant,Finance,2024-02-01,51500.00,active
user1032@company.com,Manager,Management,2024-02-02,53000.00,active
user1033@company.com,Designer,Design,2024-02-03,54500.00,resigned
user1034@company.com,IT Specialist,IT,2024-02-04,56000.00,resigned
user1035@company.com,Designer,Design,2024-02-05,57500.00,active
user1036@company.com,Support Specialist,Support,2024-02-06,59000.00,active
user1037@company.com,IT Specialist,IT,2024-02-07,60500.00,resigned
user1038@company.com,HR Specialist,HR,2024-02-08,62000.00,active
user1039@company.com,HR Specialist,HR,2024-02-09,63500.00,active
user1040@company.com,QA Analyst,Testing,2024-02-10,50000.00,resigned
user1041@company.com,Manager,Management,2024-02-11,51500.00,active
user1042@company.com,Accountant,Finance,2024-02-12,53000.00,active
user1043@company.com,IT Specialist,IT,2024-02-13,54500.00,active
user1044@company.com,Support Specialist,Support,2024-02-14,56000.00,resigned
user1045@company.com,Manager,Management,2024-02-15,57500.00,active
user1046@company.com,Support Specialist,Support,2024-02-16,59000.00,active
user1047@company.com,Support Specialist,Support,2024-02-17,60500.00,active
user1048@company.com,HR Specialist,HR,2024-02-18,62000.00,active
user1049@company.com,Support Specialist,Support,2024-02-19,63500.00,active
