employee_email,start_date,end_date,leave_type,reason,status,leader_email,hr_email
user1120@company.com,2025-01-22,2025-01-25,sick,Auto reason,leader_approved,leader@spycray.com,
user1081@company.com,2025-01-11,2025-01-14,personal,Auto reason,leader_approved,leader@spycray.com,
user1117@company.com,2025-03-23,2025-03-26,sick,Auto reason,pending,,
user1029@company.com,2025-06-06,2025-06-09,sick,Auto reason,leader_approved,leader@spycray.com,
user1010@company.com,2025-01-07,2025-01-10,annual,Auto reason,rejected,,
user1021@company.com,2025-01-03,2025-01-06,annual,Auto reason,rejected,,
user1028@company.com,2025-07-04,2025-07-07,unpaid,Auto reason,leader_approved,leader@spycray.com,
user1084@company.com,2025-04-13,2025-04-16,annual,Auto reason,leader_approved,leader@spycray.com,
user1024@company.com,2025-04-09,2025-04-12,sick,Auto reason,rejected,,
user1117@company.com,2025-06-05,2025-06-08,annual,Auto reason,leader_approved,leader@spycray.com,
user1102@company.com,2025-01-24,2025-01-27,sick,Auto reason,pending,,
user1032@company.com,2025-06-19,2025-06-22,annual,Auto reason,leader_approved,leader@spycray.com,
user1055@company.com,2025-01-22,2025-01-25,unpaid,Auto reason,pending,,
user1019@company.com,2025-05-27,2025-05-30,personal,Auto reason,pending,,
user1106@company.com,2025-03-18,2025-03-21,personal,Auto reason,rejected,,
user1008@company.com,2025-01-08,2025-01-11,personal,Auto reason,leader_approved,leader@spycray.com,
user1100@company.com,2025-04-16,2025-04-19,sick,Auto reason,leader_approved,leader@spycray.com,
user1023@company.com,2025-02-07,2025-02-10,unpaid,Auto reason,leader_approved,leader@spycray.com,
user1039@company.com,2025-05-08,2025-05-11,sick,Auto reason,pending,,
user1047@company.com,2025-06-06,2025-06-09,annual,Auto reason,leader_approved,leader@spycray.com,
user1042@company.com,2025-02-18,2025-02-21,unpaid,Auto reason,leader_approved,leader@spycray.com,
user1116@company.com,2025-06-05,2025-06-08,sick,Auto reason,pending,,
user1016@company.com,2025-01-30,2025-02-02,annual,Auto reason,leader_approved,leader@spycray.com,
user1044@company.com,2025-03-15,2025-03-18,personal,Auto reason,pending,,
user1063@company.com,2025-01-19,2025-01-22,sick,Auto reason,pending,,
user1067@company.com,2025-02-22,2025-02-25,unpaid,Auto reason,leader_approved,leader@spycray.com,
user1084@company.com,2025-03-22,2025-03-25,sick,Auto reason,pending,,
user1072@company.com,2025-03-06,2025-03-09,personal,Auto reason,pending,,
user1057@company.com,2025-07-02,2025-07-05,personal,Auto reason,pending,,
user1055@company.com,2025-03-07,2025-03-10,annual,Auto reason,leader_approved,leader@spycray.com,
user1116@company.com,2025-06-18,2025-06-21,annual,Auto reason,pending,,
user1071@company.com,2025-03-22,2025-03-25,sick,Auto reason,pending,,
user1083@company.com,2025-06-27,2025-06-30,annual,Auto reason,rejected,,
user1085@company.com,2025-07-16,2025-07-19,annual,Auto reason,leader_approved,leader@spycray.com,
user1078@company.com,2025-02-21,2025-02-24,sick,Auto reason,leader_approved,leader@spycray.com,
user1014@company.com,2025-05-24,2025-05-27,personal,Auto reason,rejected,,
user1101@company.com,2025-04-13,2025-04-16,annual,Auto reason,leader_approved,leader@spycray.com,
user1003@company.com,2025-07-17,2025-07-20,personal,Auto reason,pending,,
user1027@company.com,2025-03-04,2025-03-07,sick,Auto reason,pending,,
user1106@company.com,2025-03-01,2025-03-04,sick,Auto reason,rejected,,
user1055@company.com,2025-07-03,2025-07-06,sick,Auto reason,leader_approved,leader@spycray.com,
user1030@company.com,2025-04-04,2025-04-07,annual,Auto reason,pending,,
user1027@company.com,2025-06-18,2025-06-21,annual,Auto reason,rejected,,
user1104@company.com,2025-01-24,2025-01-27,personal,Auto reason,leader_approved,leader@spycray.com,
user1007@company.com,2025-07-17,2025-07-20,sick,Auto reason,pending,,
user1032@company.com,2025-04-04,2025-04-07,annual,Auto reason,pending,,
user1057@company.com,2025-05-27,2025-05-30,annual,Auto reason,pending,,
user1073@company.com,2025-02-21,2025-02-24,unpaid,Auto reason,leader_approved,leader@spycray.com,
user1082@company.com,2025-03-14,2025-03-17,annual,Auto reason,leader_approved,leader@spycray.com,
user1046@company.com,2025-05-23,2025-05-26,unpaid,Auto reason,pending,,
user1021@company.com,2025-01-10,2025-01-13,annual,Auto reason,rejected,,
user1054@company.com,2025-06-17,2025-06-20,annual,Auto reason,pending,,
user1110@company.com,2025-02-23,2025-02-26,annual,Auto reason,pending,,
user1117@company.com,2025-06-18,2025-06-21,annual,Auto reason,rejected,,
user1097@company.com,2025-03-18,2025-03-21,sick,Auto reason,rejected,,
user1033@company.com,2025-01-04,2025-01-07,annual,Auto reason,pending,,
user1100@company.com,2025-06-21,2025-06-24,sick,Auto reason,leader_approved,leader@spycray.com,
user1086@company.com,2025-06-03,2025-06-06,personal,Auto reason,rejected,,
user1013@company.com,2025-01-29,2025-02-01,sick,Auto reason,rejected,,
user1007@company.com,2025-02-05,2025-02-08,personal,Auto reason,leader_approved,leader@spycray.com,
user1054@company.com,2025-02-05,2025-02-08,sick,Auto reason,pending,,
user1048@company.com,2025-01-20,2025-01-23,annual,Auto reason,leader_approved,leader@spycray.com,
user1070@company.com,2025-07-07,2025-07-10,annual,Auto reason,leader_approved,leader@spycray.com,
user1092@company.com,2025-04-20,2025-04-23,sick,Auto reason,leader_approved,leader@spycray.com,
user1017@company.com,2025-06-28,2025-07-01,annual,Auto reason,rejected,,
user1070@company.com,2025-04-16,2025-04-19,sick,Auto reason,rejected,,
user1064@company.com,2025-04-10,2025-04-13,sick,Auto reason,leader_approved,leader@spycray.com,
user1080@company.com,2025-03-28,2025-03-31,annual,Auto reason,leader_approved,leader@spycray.com,
user1020@company.com,2025-02-23,2025-02-26,annual,Auto reason,leader_approved,leader@spycray.com,
user1091@company.com,2025-03-20,2025-03-23,sick,Auto reason,leader_approved,leader@spycray.com,
user1103@company.com,2025-07-04,2025-07-07,personal,Auto reason,pending,,
user1063@company.com,2025-05-09,2025-05-12,sick,Auto reason,pending,,
user1029@company.com,2025-02-21,2025-02-24,sick,Auto reason,leader_approved,leader@spycray.com,
user1008@company.com,2025-02-14,2025-02-17,sick,Auto reason,pending,,
user1017@company.com,2025-02-06,2025-02-09,annual,Auto reason,rejected,,
user1009@company.com,2025-06-22,2025-06-25,sick,Auto reason,rejected,,
user1067@company.com,2025-03-27,2025-03-30,sick,Auto reason,pending,,
user1024@company.com,2025-03-11,2025-03-14,annual,Auto reason,pending,,
user1046@company.com,2025-01-13,2025-01-16,annual,Auto reason,rejected,,
user1025@company.com,2025-02-11,2025-02-14,sick,Auto reason,rejected,,
user1023@company.com,2025-01-18,2025-01-21,personal,Auto reason,leader_approved,leader@spycray.com,
user1008@company.com,2025-01-16,2025-01-19,personal,Auto reason,leader_approved,leader@spycray.com,
