employee_email,month,year,overtime_hours,bonus,deductions,status,submitted_by_email
user1056@company.com,4,2025,5,67,27,approved,leader@spycray.com
user1083@company.com,12,2025,7,6,71,pending,leader@spycray.com
user1038@company.com,12,2025,10,54,80,pending,leader@spycray.com
user1101@company.com,11,2025,3,178,29,pending,leader@spycray.com
user1110@company.com,3,2025,10,23,20,approved,leader@spycray.com
user1024@company.com,3,2025,4,109,34,pending,leader@spycray.com
user1072@company.com,4,2025,8,165,81,approved,leader@spycray.com
user1082@company.com,3,2025,10,60,21,approved,leader@spycray.com
user1062@company.com,1,2025,3,169,58,pending,leader@spycray.com
user1015@company.com,10,2025,1,105,85,pending,leader@spycray.com
user1054@company.com,8,2025,0,145,68,approved,leader@spycray.com
user1002@company.com,12,2025,2,45,46,pending,leader@spycray.com
user1087@company.com,1,2025,2,477,88,pending,leader@spycray.com
user1057@company.com,4,2025,10,25,97,approved,leader@spycray.com
user1011@company.com,2,2025,5,411,94,approved,leader@spycray.com
user1020@company.com,2,2025,8,464,52,pending,leader@spycray.com
user1080@company.com,10,2025,6,338,99,approved,leader@spycray.com
user1069@company.com,11,2025,1,215,57,pending,leader@spycray.com
user1041@company.com,1,2025,1,35,27,pending,leader@spycray.com
user1084@company.com,4,2025,7,481,92,pending,leader@spycray.com
user1003@company.com,12,2025,9,343,51,pending,leader@spycray.com
user1088@company.com,7,2025,10,103,81,approved,leader@spycray.com
user1020@company.com,5,2025,5,299,77,pending,leader@spycray.com
user1109@company.com,12,2025,1,256,24,approved,leader@spycray.com
user1094@company.com,9,2025,4,410,56,pending,leader@spycray.com
user1085@company.com,3,2025,8,78,68,pending,leader@spycray.com
user1080@company.com,6,2025,2,176,48,pending,leader@spycray.com
user1023@company.com,8,2025,5,418,77,pending,leader@spycray.com
user1037@company.com,7,2025,9,262,83,approved,leader@spycray.com
user1040@company.com,8,2025,6,412,41,approved,leader@spycray.com
user1039@company.com,3,2025,3,69,60,pending,leader@spycray.com
user1112@company.com,11,2025,8,318,72,pending,leader@spycray.com
user1091@company.com,1,2025,1,8,95,pending,leader@spycray.com
user1082@company.com,3,2025,2,4,46,approved,leader@spycray.com
user1038@company.com,12,2025,0,66,85,pending,leader@spycray.com
user1115@company.com,9,2025,9,79,61,pending,leader@spycray.com
user1070@company.com,4,2025,3,191,87,approved,leader@spycray.com
user1076@company.com,7,2025,1,280,17,pending,leader@spycray.com
user1028@company.com,12,2025,1,417,84,pending,leader@spycray.com
user1120@company.com,12,2025,4,397,54,pending,leader@spycray.com
user1103@company.com,3,2025,7,158,52,approved,leader@spycray.com
user1017@company.com,8,2025,4,196,32,approved,leader@spycray.com
user1008@company.com,3,2025,7,491,70,approved,leader@spycray.com
user1114@company.com,7,2025,2,249,28,pending,leader@spycray.com
user1020@company.com,10,2025,8,239,16,approved,leader@spycray.com
user1055@company.com,8,2025,6,141,13,pending,leader@spycray.com
user1037@company.com,6,2025,4,236,48,pending,leader@spycray.com
user1008@company.com,5,2025,5,119,42,pending,leader@spycray.com
user1088@company.com,5,2025,2,74,88,pending,leader@spycray.com
user1003@company.com,4,2025,6,315,20,approved,leader@spycray.com
user1019@company.com,10,2025,5,397,98,pending,leader@spycray.com
user1011@company.com,1,2025,3,41,52,pending,leader@spycray.com
user1057@company.com,5,2025,10,331,32,pending,leader@spycray.com
user1095@company.com,5,2025,4,233,75,pending,leader@spycray.com
user1071@company.com,6,2025,1,73,58,approved,leader@spycray.com
user1087@company.com,1,2025,1,58,21,pending,leader@spycray.com
user1083@company.com,3,2025,2,259,30,pending,leader@spycray.com
user1077@company.com,2,2025,6,345,50,approved,leader@spycray.com
user1104@company.com,4,2025,6,222,2,pending,leader@spycray.com
user1035@company.com,4,2025,2,183,64,approved,leader@spycray.com
user1033@company.com,9,2025,2,329,84,pending,leader@spycray.com
user1014@company.com,7,2025,8,377,68,pending,leader@spycray.com
user1016@company.com,5,2025,1,307,12,approved,leader@spycray.com
user1025@company.com,4,2025,5,280,95,pending,leader@spycray.com
user1029@company.com,2,2025,9,401,18,approved,leader@spycray.com
user1056@company.com,9,2025,4,38,50,pending,leader@spycray.com
user1006@company.com,10,2025,8,10,23,pending,leader@spycray.com
user1052@company.com,3,2025,2,488,44,approved,leader@spycray.com
user1046@company.com,5,2025,7,453,22,approved,leader@spycray.com
user1052@company.com,10,2025,5,226,93,pending,leader@spycray.com
user1024@company.com,5,2025,8,294,56,pending,leader@spycray.com
user1049@company.com,10,2025,10,164,31,pending,leader@spycray.com
user1027@company.com,1,2025,1,5,59,pending,leader@spycray.com
user1115@company.com,4,2025,8,339,82,pending,leader@spycray.com
user1032@company.com,6,2025,1,287,87,pending,leader@spycray.com
user1100@company.com,3,2025,9,377,98,approved,leader@spycray.com
user1108@company.com,11,2025,6,219,8,approved,leader@spycray.com
user1090@company.com,8,2025,1,216,18,approved,leader@spycray.com
user1009@company.com,6,2025,8,295,89,pending,leader@spycray.com
user1041@company.com,12,2025,0,242,47,pending,leader@spycray.com
user1062@company.com,2,2025,5,147,1,approved,leader@spycray.com
user1002@company.com,2,2025,8,195,82,approved,leader@spycray.com
user1062@company.com,11,2025,1,240,6,approved,leader@spycray.com
user1082@company.com,10,2025,1,409,71,approved,leader@spycray.com
