project_name,assigned_to_email,created_by_email,title,description,status,deadline
Project 1,user1000@company.com,leader@spycray.com,Task 1: Project 1,Auto-generated task 1 for Project 1.,todo,2026-03-08
Project 2,user1001@company.com,leader@spycray.com,Task 2: Project 2,Auto-generated task 2 for Project 2.,in_progress,2026-03-09
Project 3,user1002@company.com,leader@spycray.com,Task 3: Project 3,Auto-generated task 3 for Project 3.,done,2026-03-10
Project 4,user1003@company.com,leader@spycray.com,Task 4: Project 4,Auto-generated task 4 for Project 4.,todo,2026-03-11
Project 5,user1004@company.com,leader@spycray.com,Task 5: Project 5,Auto-generated task 5 for Project 5.,in_progress,2026-03-12
Project 6,user1005@company.com,leader@spycray.com,Task 6: Project 6,Auto-generated task 6 for Project 6.,done,2026-03-13
Project 7,user1006@company.com,leader@spycray.com,Task 7: Project 7,Auto-generated task 7 for Project 7.,todo,2026-03-14
Project 8,user1007@company.com,leader@spycray.com,Task 8: Project 8,Auto-generated task 8 for Project 8.,in_progress,2026-03-15
Project 9,user1008@company.com,leader@spycray.com,Task 9: Project 9,Auto-generated task 9 for Project 9.,done,2026-03-16
Project 10,user1009@company.com,leader@spycray.com,Task 10: Project 10,Auto-generated task 10 for Project 10.,todo,2026-03-17
Project 11,user1010@company.com,leader@spycray.com,Task 11: Project 11,Auto-generated task 11 for Project 11.,in_progress,2026-03-18
Project 12,user1011@company.com,leader@spycray.com,Task 12: Project 12,Auto-generated task 12 for Project 12.,done,2026-03-19
Project 13,user1012@company.com,leader@spycray.com,Task 13: Project 13,Auto-generated task 13 for Project 13.,todo,2026-03-20
Project 14,user1013@company.com,leader@spycray.com,Task 14: Project 14,Auto-generated task 14 for Project 14.,in_progress,2026-03-21
Project 15,user1014@company.com,leader@spycray.com,Task 15: Project 15,Auto-generated task 15 for Project 15.,done,2026-03-22
Project 16,user1015@company.com,leader@spycray.com,Task 16: Project 16,Auto-generated task 16 for Project 16.,todo,2026-03-23
Project 17,user1016@company.com,leader@spycray.com,Task 17: Project 17,Auto-generated task 17 for Project 17.,in_progress,2026-03-24
Project 18,user1017@company.com,leader@spycray.com,Task 18: Project 18,Auto-generated task 18 for Project 18.,done,2026-03-25
Project 19,user1018@company.com,leader@spycray.com,Task 19: Project 19,Auto-generated task 19 for Project 19.,todo,2026-03-26
Project 20,user1019@company.com,leader@spycray.com,Task 20: Project 20,Auto-generated task 20 for Project 20.,in_progress,2026-03-27
Project 21,user1020@company.com,leader@spycray.com,Task 21: Project 21,Auto-generated task 21 for Project 21.,done,2026-03-28
Project 22,user1021@company.com,leader@spycray.com,Task 22: Project 22,Auto-generated task 22 for Project 22.,todo,2026-03-29
Project 23,user1022@company.com,leader@spycray.com,Task 23: Project 23,Auto-generated task 23 for Project 23.,in_progress,2026-03-30
Project 24,user1023@company.com,leader@spycray.com,Task 24: Project 24,Auto-generated task 24 for Project 24.,done,2026-03-31
Project 25,user1024@company.com,leader@spycray.com,Task 25: Project 25,Auto-generated task 25 for Project 25.,todo,2026-04-01
Project 26,user1025@company.com,leader@spycray.com,Task 26: Project 26,Auto-generated task 26 for Project 26.,in_progress,2026-04-02
Project 27,user1026@company.com,leader@spycray.com,Task 27: Project 27,Auto-generated task 27 for Project 27.,done,2026-04-03
Project 28,user1027@company.com,leader@spycray.com,Task 28: Project 28,Auto-generated task 28 for Project 28.,todo,2026-04-04
Project 29,user1028@company.com,leader@spycray.com,Task 29: Project 29,Auto-generated task 29 for Project 29.,in_progress,2026-04-05
Project 30,user1029@company.com,leader@spycray.com,Task 30: Project 30,Auto-generated task 30 for Project 30.,done,2026-04-06
Project 31,user1030@company.com,leader@spycray.com,Task 31: Project 31,Auto-generated task 31 for Project 31.,todo,2026-04-07
Project 32,user1031@company.com,leader@spycray.com,Task 32: Project 32,Auto-generated task 32 for Project 32.,in_progress,2026-04-08
Project 33,user1032@company.com,leader@spycray.com,Task 33: Project 33,Auto-generated task 33 for Project 33.,done,2026-04-09
Project 34,user1033@company.com,leader@spycray.com,Task 34: Project 34,Auto-generated task 34 for Project 34.,todo,2026-04-10
Project 35,user1034@company.com,leader@spycray.com,Task 35: Project 35,Auto-generated task 35 for Project 35.,in_progress,2026-04-11
Project 36,user1035@company.com,leader@spycray.com,Task 36: Project 36,Auto-generated task 36 for Project 36.,done,2026-04-12
Project 37,user1036@company.com,leader@spycray.com,Task 37: Project 37,Auto-generated task 37 for Project 37.,todo,2026-04-13
Project 38,user1037@company.com,leader@spycray.com,Task 38: Project 38,Auto-generated task 38 for Project 38.,in_progress,2026-04-14
Project 39,user1038@company.com,leader@spycray.com,Task 39: Project 39,Auto-generated task 39 for Project 39.,done,2026-04-15
Project 40,user1039@company.com,leader@spycray.com,Task 40: Project 40,Auto-generated task 40 for Project 40.,todo,2026-04-16
