full_name,email,password,role,status
Employee 1001,user1001@company.com,password123,Employee,disabled
Employee 1002,user1002@company.com,password123,Employee,active
Employee 1003,user1003@company.com,password123,Employee,active
Employee 1004,user1004@company.com,password123,Employee,active
Employee 1005,user1005@company.com,password123,Employee,active
Employee 1006,user1006@company.com,password123,Employee,active
Employee 1007,user1007@company.com,password123,Employee,active
Employee 1008,user1008@company.com,password123,Employee,active
Employee 1009,user1009@company.com,password123,Employee,active
Employee 1010,user1010@company.com,password123,Employee,disabled
Employee 1011,user1011@company.com,password123,Employee,active
Employee 1012,user1012@company.com,password123,Employee,disabled
Employee 1013,user1013@company.com,password123,Employee,active
Employee 1014,user1014@company.com,password123,Employee,disabled
Employee 1015,user1015@company.com,password123,Employee,disabled
Employee 1016,user1016@company.com,password123,Employee,disabled
Employee 1017,user1017@company.com,password123,Employee,disabled
Employee 1018,user1018@company.com,password123,Employee,disabled
Employee 1019,user1019@company.com,password123,Employee,disabled
Employee 1020,user1020@company.com,password123,Employee,disabled
Employee 1021,user1021@company.com,password123,Employee,active
Employee 1022,user1022@company.com,password123,Employee,active
Employee 1023,user1023@company.com,password123,Employee,disabled
Employee 1024,user1024@company.com,password123,Employee,disabled
Employee 1025,user1025@company.com,password123,Employee,active
Employee 1026,user1026@company.com,password123,Employee,active
Employee 1027,user1027@company.com,password123,Employee,active
Employee 1028,user1028@company.com,password123,Employee,disabled
Employee 1029,user1029@company.com,password123,Employee,active
Employee 1030,user1030@company.com,password123,Employee,active
Employee 1031,user1031@company.com,password123,Employee,active
Employee 1032,user1032@company.com,password123,Employee,active
Employee 1033,user1033@company.com,password123,Employee,disabled
Employee 1034,user1034@company.com,password123,Employee,disabled
Employee 1035,user1035@company.com,password123,Employee,active
Employee 1036,user1036@company.com,password123,Employee,active
Employee 1037,user1037@company.com,password123,Employee,disabled
Employee 1038,user1038@company.com,password123,Employee,active
Employee 1039,user1039@company.com,password123,Employee,active
Employee 1040,user1040@company.com,password123,Employee,disabled
Employee 1041,user1041@company.com,password123,Employee,active
Employee 1042,user1042@company.com,password123,Employee,active
Employee 1043,user1043@company.com,password123,Employee,active
Employee 1044,user1044@company.com,password123,Employee,disabled
Employee 1045,user1045@company.com,password123,Employee,active
Employee 1046,user1046@company.com,password123,Employee,active
Employee 1047,user1047@company.com,password123,Employee,active
Employee 1048,user1048@company.com,password123,Employee,active
Employee 1049,user1049@company.com,password123,Employee,active
Employee 1050,user1050@company.com,password123,Employee,disabled
Employee 1051,user1051@company.com,password123,Employee,active
Employee 1052,user1052@company.com,password123,Employee,disabled
Employee 1053,user1053@company.com,password123,Employee,disabled
Employee 1054,user1054@company.com,password123,Employee,disabled
Employee 1055,user1055@company.com,password123,Employee,active
Employee 1056,user1056@company.com,password123,Employee,active
Employee 1057,user1057@company.com,password123,Employee,disabled
Employee 1058,user1058@company.com,password123,Employee,active
Employee 1059,user1059@company.com,password123,Employee,active
Employee 1060,user1060@company.com,password123,Employee,disabled
Employee 1061,user1061@company.com,password123,Employee,active
Employee 1062,user1062@company.com,password123,Employee,disabled
Employee 1063,user1063@company.com,password123,Employee,active
Employee 1064,user1064@company.com,password123,Employee,disabled
Employee 1065,user1065@company.com,password123,Employee,active
Employee 1066,user1066@company.com,password123,Employee,disabled
Employee 1067,user1067@company.com,password123,Employee,disabled
Employee 1068,user1068@company.com,password123,Employee,disabled
Employee 1069,user1069@company.com,password123,Employee,active
Employee 1070,user1070@company.com,password123,Employee,disabled
Employee 1071,user1071@company.com,password123,Employee,active
Employee 1072,user1072@company.com,password123,Employee,disabled
Employee 1073,user1073@company.com,password123,Employee,disabled
Employee 1074,user1074@company.com,password123,Employee,active
Employee 1075,user1075@company.com,password123,Employee,disabled
Employee 1076,user1076@company.com,password123,Employee,active
Employee 1077,user1077@company.com,password123,Employee,active
Employee 1078,user1078@company.com,password123,Employee,disabled
Employee 1079,user1079@company.com,password123,Employee,active
Employee 1080,user1080@company.com,password123,Employee,disabled
Employee 1081,user1081@company.com,password123,Employee,disabled
Employee 1082,user1082@company.com,password123,Employee,active
Employee 1083,user1083@company.com,password123,Employee,active
Employee 1084,user1084@company.com,password123,Employee,active
Employee 1085,user1085@company.com,password123,Employee,active
Employee 1086,user1086@company.com,password123,Employee,active
Employee 1087,user1087@company.com,password123,Employee,disabled
Employee 1088,user1088@company.com,password123,Employee,disabled
Employee 1089,user1089@company.com,password123,Employee,active
Employee 1090,user1090@company.com,password123,Employee,active
Employee 1091,user1091@company.com,password123,Employee,disabled
Employee 1092,user1092@company.com,password123,Employee,disabled
Employee 1093,user1093@company.com,password123,Employee,disabled
Employee 1094,user1094@company.com,password123,Employee,active
Employee 1095,user1095@company.com,password123,Employee,disabled
Employee 1096,user1096@company.com,password123,Employee,disabled
Employee 1097,user1097@company.com,password123,Employee,active
Employee 1098,user1098@company.com,password123,Employee,disabled
Employee 1099,user1099@company.com,password123,Employee,disabled
Employee 1100,user1100@company.com,password123,Employee,active
Employee 1101,user1101@company.com,password123,Employee,active
Employee 1102,user1102@company.com,password123,Employee,disabled
Employee 1103,user1103@company.com,password123,Employee,disabled
Employee 1104,user1104@company.com,password123,Employee,active
Employee 1105,user1105@company.com,password123,Employee,active
Employee 1106,user1106@company.com,password123,Employee,active
Employee 1107,user1107@company.com,password123,Employee,disabled
Employee 1108,user1108@company.com,password123,Employee,disabled
Employee 1109,user1109@company.com,password123,Employee,active
Employee 1110,user1110@company.com,password123,Employee,active
Employee 1111,user1111@company.com,password123,Employee,disabled
Employee 1112,user1112@company.com,password123,Employee,active
Employee 1113,user1113@company.com,password123,Employee,disabled
Employee 1114,user1114@company.com,password123,Employee,active
Employee 1115,user1115@company.com,password123,Employee,disabled
Employee 1116,user1116@company.com,password123,Employee,disabled
Employee 1117,user1117@company.com,password123,Employee,active
Employee 1118,user1118@company.com,password123,Employee,disabled
Employee 1119,user1119@company.com,password123,Employee,active
Employee 1120,user1120@company.com,password123,Employee,disabled
